Id,kepid,kepoi_name,koi_period
1,10797460,K00752.01,9.48803557
2,10797460,K00752.02,54.4183827
3,10811496,K00753.01,19.89913995
4,10848459,K00754.01,1.736952453
5,10854555,K00755.01,2.525591777
6,10872983,K00756.01,11.09432054
7,10872983,K00756.02,4.13443512
8,10872983,K00756.03,2.56658897
9,6721123,K00114.01,7.36178958
10,10910878,K00757.01,16.06864674
11,11446443,K00001.01,2.470613377
12,10666592,K00002.01,2.204735417
13,6922244,K00010.01,3.522498429
14,10984090,K00112.02,3.709214104
15,10419211,K00742.01,11.52144606
16,10464078,K00743.01,19.40393776
17,10480982,K00744.01,19.22138894
18,10485250,K00745.01,16.46983774
19,10526549,K00746.01,9.27358173
20,10583066,K00747.01,6.02930329
21,10583180,K00748.01,2.696370652
22,10601284,K00749.01,5.349553819
23,10601284,K00749.02,3.94105221
24,10601284,K00749.03,8.10904807
25,2306756,K00113.01,386.6030528
26,10662202,K00750.01,21.67699193
27,10682541,K00751.01,4.99677968
28,11460018,K00769.01,4.280963604
29,11463211,K00770.01,1.50635409
30,11465813,K00771.01,670.645531
31,11493732,K00772.01,61.2563628
32,11507101,K00773.01,38.3775486
33,10910878,K00757.02,41.19725502
34,10910878,K00757.03,6.252962249
35,10987985,K00758.01,16.01308419
36,11018648,K00759.01,32.62876672
37,11018648,K00759.02,91.7732862
38,11138155,K00760.01,4.959319244
39,11152159,K00761.01,2.701287801
40,11153539,K00762.01,4.49876511
41,11242721,K00763.01,19.65120951
42,9579641,K00115.01,5.412203927
43,11304958,K00764.01,41.43958662
44,11391957,K00765.01,8.35389523
45,11403044,K00766.01,4.125543472
46,11414511,K00767.01,2.816504904
47,11442465,K00768.01,33.93373447
48,12110942,K00786.01,3.689920099
49,12366084,K00787.01,4.431238488
50,12366084,K00787.02,11.37936986
51,12404086,K00788.01,26.39432897
52,8395660,K00116.01,13.57078281
53,9579641,K00115.02,7.12594387
54,11656840,K00774.01,7.442652004
55,11754553,K00775.01,16.38489988
56,11754553,K00775.02,7.8774163
